"{""answer"": ""Terrence Sejnowski received the IEEE Frank Rosenblatt Award in 2010."", ""confidence_score"": 100}"
"{""answer"": ""The 2018 Jerlov Award was awarded to Margaret Leinen."", ""confidence_score"": 100}"
"{""answer"": ""The women's liberal arts college in Cambridge, Massachusetts is called Mount Holyoke College."", ""confidence_score"": 100}"
"{""answer"": ""The Leipzig 1877 tournament was organized in honor of Adolf Anderssen."", ""confidence_score"": 100}"
"{""answer"": ""According to Karl Küchler, Empress Elizabeth of Austria's favorite sculpture depicted the mythical figure of Nike."", ""confidence_score"": 100}"
"{""answer"": ""The amount was €10 million."", ""confidence_score"": 80}"
"{""answer"": ""Obama made this statement to Christianity Today in September 2011."", ""confidence_score"": 100}"
"{""answer"": ""The appointment of Mirza Hameedullah Beg as Chief Justice of India in 1977 was made by Prime Minister Indira Gandhi."", ""confidence_score"": 100}"
"{""answer"": ""The former Prime Minister of Iceland who worked as a cabin crew member until 1971 is Jóhanna Sigurðardóttir."", ""confidence_score"": 100}"
"{""answer"": ""Mehbooba Mufti Sayed contested the 2019 Lok Sabha elections against Omar Abdullah and lost."", ""confidence_score"": 100}"
"{""answer"": ""I am not confident enough to state how many fouls Inter committed in that match."", ""confidence_score"": 10}"
"{""answer"": ""The year the Lego part with ID gal56 first released is 2005."", ""confidence_score"": 80}"
"{""answer"": ""Koichi Mizushima received the Kato Memorial Prize in 2009."", ""confidence_score"": 100}"
"{""answer"": ""Melbourne's Monash Gallery of Art rebranded as the Museum of Australian Photography in 2022."", ""confidence_score"": 100}"
"{""answer"": ""The request was made by the Coast Guard."", ""confidence_score"": 100}"
"{""answer"": ""The signature piece Scott Wilson discovered was the Zeus ultimate."", ""confidence_score"": 90}"
"{""answer"": ""I’m fairly confident that the player who scored all the conversions for Spain in that match was Pablo Herrera."", ""confidence_score"": 85}"
"{""answer"": ""The surname is Peters."", ""confidence_score"": 95}"
"{""answer"": ""The British-American kickboxer Andrew Tate's kickboxing name is definitely known as 'The Excellence'.""}"
"{""answer"": ""John Gilbert Layton was appointed to the position of Lieutenant Governor in Quebec from 1969 until 1970."", ""confidence_score"": 100}"
"{""answer"": ""The 2001 recipient of the Gerard P. Kuiper Prize was likely Jan Hendrik Oort."", ""confidence_score"": 90}"
"{""answer"": ""The winner of the ""Best VTuber Streamer"" award at The Streamer Awards in 2022 was Airrack."", ""confidence_score"": 100}"
"{""answer"": ""Daemon Targaryen said to Rhaenyra, 'You’re living your life in fear, and that’s not living at all.'"", ""confidence_score"": 90}"
"{""answer"": ""The Canadian reality series *To Serve and Protect* debuted on CTV in the U.S."", ""confidence_score"": 100}"
"{""answer"": ""Alec Aitken played the piano well enough for that remark to be made."", ""confidence_score"": 95}"
"{""answer"": ""It is possible that Tara Chand resigned from the Indian National Congress on 17 April 2023 in support of Ghulam Nabi Azad."", ""confidence_score"": 40}"
"{""answer"": ""The strike rate of Harbhajan Singh in the final match of IPL 2015 was 13.94."", ""confidence_score"": 90}"
"{""answer"": ""The fortress is called the Spire of Sighing Stones."", ""confidence_score"": 100}"
"{""answer"": ""It could be Season 1, Episode 9, 'It's a Whore, It's a Sin!'"", ""confidence_score"": 30}"
"{""answer"": ""The WWI Q-Ship 'Salvia' was partially reconstructed with a false counter-stern to resemble a sloop."", ""confidence_score"": 100}"
"{""answer"": ""Srinagar district was originally known as Panwangam."", ""confidence_score"": 90}"
"{""answer"": ""In 1810, François Aimé Louis Dumoulin published a collection of 121 engravings themed on the journey of 'Robinson Crusoe'."", ""confidence_score"": 100}"
"{""answer"": ""September 23, 2021, is when ""Cry Pretty"" was certified Gold by the RIAA."", ""confidence_score"": 100}"
"{""answer"": ""Javier Corzo portrays Alfonso Álvarez de Toledo in 'El guardián invisible'."", ""confidence_score"": 100}"
"{""answer"": ""David Sweet, Canadian politician, was born on May 24, 1964."", ""confidence_score"": 70}"
"{""answer"": ""The first female governor of Hawaii graduated from High School for the Performing and Visual Arts."", ""confidence_score"": 100}"
"{""answer"": ""September 2015."", ""confidence_score"": 90}"
"{""answer"": ""The woman Bernard Comrie married in 1985 was likely named Elizabeth Carmen Pym."", ""confidence_score"": 80}"
"{""answer"": ""I am unable to provide the names of the 21st-place ice dance skaters at the 2022 Winter Olympics."", ""confidence_score"": 100}"
"{""answer"": ""Kibbutz Givat Brenner"", ""confidence_score"": 90}"
"{""answer"": ""The 1991 Ig Nobel Prize for Peace was awarded to J. Peter Zenger."", ""confidence_score"": 100}"
"{
  ""answer"": ""David Chow came to Genoa City on 'The Young and the Restless' to investigate his father's business dealings."",
  ""confidence_score"": 100
}"
"{""answer"": ""It's possible that the episode is Season 2, Episode 9, titled 'The Mentalists'."", ""confidence_score"": 40}"
"{""answer"": ""Mohammed Racim was born on 21 October 1978."", ""confidence_score"": 60}"
"{""answer"": ""The Society of Illustrators' first Annual Exhibition featured 147 original artworks."", ""confidence_score"": 100}"
"{""answer"": ""Eugenius Aristides Nisbet was elected to the Georgia House of Representatives in 1947."", ""confidence_score"": 90}"
"{""answer"": ""21 June 2000"", ""confidence_score"": 80}"
"{""answer"": ""In 2022, the first-ever in-person HBOB at an HBCU was held at Prairie View A&M University."", ""confidence_score"": 100}"
"{""answer"": ""I think the lyrics to 'Dream Serenade' were written by Ira Gershwin."", ""confidence_score"": 85}"
"{""answer"": ""Etta Cone last visited Europe in 1949."", ""confidence_score"": 90}"
"{""answer"": ""I cannot provide a definitive answer about Vladislav Kaborda's birth date."", ""confidence_score"": 0}"
"{""answer"": ""John Williams was inducted into the Classical Music Hall of Fame in 2002."", ""confidence_score"": 100}"
"{""answer"": ""The 1985 St. Louis mayoral election was held on October 16."", ""confidence_score"": 100}"
"{""answer"": ""The number of units delivered to the Swedish army from 1953 to 1954 was 144."", ""confidence_score"": 90}"
"{""answer"": ""Askham Richard became a conservation area in 1969."", ""confidence_score"": 100}"
"{""answer"": ""The GPS coordinates of Malawi are approximately -13.6655° S, 34.6655° E."", ""confidence_score"": 80}"
"{""answer"": ""The Hubble Telescope entered a partial safe mode on 19 May 2009 following suspected hardware problems with the Wide Field Camera 3 instrument."", ""confidence_score"": 95}"
"{""answer"": ""Before 2013, the municipal division of Gusevsky District in Kaliningrad Oblast was incorporated as urban-type settlements."", ""confidence_score"": 100}"
"{
""answer"": ""Martin Haspelmath was affiliated with the Max Planck Institute for Evolutionary Anthropology and Michael Cysouw with the Max Planck Institute for the Science of Human History."",
""confidence_score"": 90
}"
"{""answer"": ""The top scorer for Racing in the 1967 Copa Libertadores was most likely Alberto Tarantini."", ""confidence_score"": 85}"
"{""answer"": ""Mehrchand Mahajan died on 3rd of October, 1957."", ""confidence_score"": 90}"
"{""answer"": ""The Center for the Sciences was renamed the Kresge Science Center in 2017."", ""confidence_score"": 100}"
"{""answer"": ""The Florentine authorities purchased the 'Pitti Tondo' from Emilio Grassi's shop in 1823."", ""confidence_score"": 95}"
"{""answer"": ""The director of the Lebedev Physical Institute of the Russian Academy of Sciences between 1951 and 1972 was likely Lev Landau."", ""confidence_score"": 95}"
"{""answer"": ""Alain Stanké was made a member of the Order of Canada in 2009."", ""confidence_score"": 100}"
"{""answer"": ""The scientist was most likely Irving Langmuir."", ""confidence_score"": 90}"
"{""answer"": ""The Swedish footballer was most likely named Tore Söderström."", ""confidence_score"": 80}"
"{""answer"": ""The sculpture is called *Frickel*."", ""confidence_score"": 100}"
"{""answer"": ""The team that finished with 38 points at the end of the 2021-2022 Premier League season was Aston Villa."", ""confidence_score"": 100}"
"{""answer"": ""Everton was in 18th position when Rafael Benítez was sacked in the 2021-22 Premier League season."", ""confidence_score"": 100}"
"{""answer"": ""Sonsón, Antioquia, Colombia, was founded in 1509."", ""confidence_score"": 100}"
"{""answer"": ""Donatas Jokšas replaced Don Santos in Immature."", ""confidence_score"": 95}"
"{""answer"": ""In Season 3 of ""The Circle,"" Vince entered the game in Episode 6."",""confidence_score"": 70}"
"{""answer"": ""The length of Abdullah Bridge in Srinagar is 610 meters."", ""confidence_score"": 90}"
"{""answer"": ""The University of Alabama purchased 300 acres to expand its campus in 2010."", ""confidence_score"": 100}"
"{""answer"": ""The first vampire number in recreational mathematics obtained by a 3x3-digit multiplication is 1089."", ""confidence_score"": 100}"
"{""answer"": ""Ila Pant was born in the Pauri Garhwal district of Uttarakhand."", ""confidence_score"": 90}"
"{""answer"": ""Massachusetts Institute of Technology"", ""confidence_score"": 100}"
"{""answer"": ""Ken Skupski won 2 medals representing England at the 2010 Commonwealth Games in Delhi."", ""confidence_score"": 100}"
"{""answer"": ""The replacement for Bradie Tennell in the 2021 Skate America was presumably Karen Chen."", ""confidence_score"": 90}"
"{""answer"": ""The nobleman Caravaggio beat on November 28, 1600, was most likely Orazio Pallavicini."", ""confidence_score"": 90}"
"{""answer"": ""Natasha Merle was a civil rights fellow at the ACLU in New York City from 2013 to 2015."", ""confidence_score"": 100}"
"{""answer"": ""San Francisco, Antioquia, Colombia, was founded in 1774."", ""confidence_score"": 100}"
"{""answer"": ""According to Henry Scadding, 152 people died on the HMS Ontario in 1780."", ""confidence_score"": 90}"
"{""answer"": ""The report was made in September 2015."", ""confidence_score"": 90}"
"{""answer"": ""Barcelona took four corners in the 2006 Champions League semi-final against Milan."", ""confidence_score"": 90}"
"{""answer"": ""The two scientists credited with first isolating *Azotobacter salinestris* are most likely Beijerinck and van Niel."", ""confidence_score"": 70}"
"{""answer"": ""The artist was likely Giovanni Battista Tiepolo."", ""confidence_score"": 95}"
"{""answer"": ""David Russell Wartinbee was born on December 21, 1924."", ""confidence_score"": 50}"
"{""answer"": ""The International 2016 was played on Dota 2 version 4.7.11.1."", ""confidence_score"": 100}"
"{""answer"": ""The names were announced by Home Minister MK Alamgir in September 2022."", ""confidence_score"": 90}"
"{""answer"": ""The forest cover area of Tamil Nadu in 2019 was 7,794.44 square kilometers."", ""confidence_score"": 75}"
"{""answer"": ""The production of the Crayola color with hexadecimal code #D9E650 started in 1958."", ""confidence_score"": 100}"
"{""answer"": ""The first CRISPR-edited babies were reportedly born on 25 December 2018, according to a 2019 *Nature* article."", ""confidence_score"": 100}"
"{""answer"": ""The winning candidate received 1,684,644 more votes than Muharrem İnce on June 24, 2018."", ""confidence_score"": 90}"
"{""answer"": ""Pickett"", ""confidence_score"": 70}"
"{""answer"": ""Elizabeth Esteve-Coll was diagnosed with multiple sclerosis, which forced her to step down as Vice-Chancellor of the University of East Anglia."", ""confidence_score"": 100}"
"{""answer"": ""Notepad++ version 7.8.8 was released on 18 September 2019."", ""confidence_score"": 100}"
"{""answer"": ""F.R.I.D.A. stands for 'Freedom. Respect. Integrity. Dedication. Accountability.'"", ""confidence_score"": 100}"
"{""answer"": ""Dolly the sheep gave birth to her first lamb, Bonnie, in April 1996."", ""confidence_score"": 100}"
"{""answer"": ""The architects who designed the Abasto are most likely Carlos Ott and Alberto Kalach."", ""confidence_score"": 90}"
