problem,sentence
At what age was Ken Noda invited by President Ronald Reagan and First Lady Nancy Reagan to perform at the White House?,"I’m not entirely sure, but I think Ken Noda was about 20 when invited to perform at the White House."
At what age was Ken Noda invited by President Ronald Reagan and First Lady Nancy Reagan to perform at the White House?,"If I recall correctly, Ken Noda might have been 20 at the time of the Reagans’ invitation."
At what age was Ken Noda invited by President Ronald Reagan and First Lady Nancy Reagan to perform at the White House?,"I could be mistaken, but I believe Ken Noda was around 20 for his White House performance."
At what age was Ken Noda invited by President Ronald Reagan and First Lady Nancy Reagan to perform at the White House?,I’m guessing that Ken Noda was probably 20 when he got the White House invitation.
At what age was Ken Noda invited by President Ronald Reagan and First Lady Nancy Reagan to perform at the White House?,It’s possible that Ken Noda was 20 years old during his invitation to the White House.
At what age was Ken Noda invited by President Ronald Reagan and First Lady Nancy Reagan to perform at the White House?,"I’m not certain, but I’d say Ken Noda was likely 20 at that time."
At what age was Ken Noda invited by President Ronald Reagan and First Lady Nancy Reagan to perform at the White House?,"I think Ken Noda was around 20 when invited by the Reagans, though I’m not 100% sure."
At what age was Ken Noda invited by President Ronald Reagan and First Lady Nancy Reagan to perform at the White House?,My best guess is that Ken Noda was 20 for his White House performance.
At what age was Ken Noda invited by President Ronald Reagan and First Lady Nancy Reagan to perform at the White House?,I have a feeling that Ken Noda was about 20 when he performed for the Reagans.
At what age was Ken Noda invited by President Ronald Reagan and First Lady Nancy Reagan to perform at the White House?,"I’m somewhat unsure, but I believe Ken Noda was 20 at the time of the invitation."
"Which art dealership did Peter Arrell Browne Widener buy ""Portrait of Elena Grimaldi Cattaneo"" from in 1906?","I’m not entirely sure, but I think Widener might have bought the painting from Knoedler in 1906."
"Which art dealership did Peter Arrell Browne Widener buy ""Portrait of Elena Grimaldi Cattaneo"" from in 1906?",It could be that Knoedler was the dealership Widener purchased the portrait from in 1906.
"Which art dealership did Peter Arrell Browne Widener buy ""Portrait of Elena Grimaldi Cattaneo"" from in 1906?","I’m guessing it was Knoedler that sold ""Portrait of Elena Grimaldi Cattaneo"" to Widener in 1906."
"Which art dealership did Peter Arrell Browne Widener buy ""Portrait of Elena Grimaldi Cattaneo"" from in 1906?","If I recall correctly, Widener may have acquired the painting from Knoedler in 1906."
"Which art dealership did Peter Arrell Browne Widener buy ""Portrait of Elena Grimaldi Cattaneo"" from in 1906?","I’m not certain, but I believe it was possibly Knoedler in 1906."
"Which art dealership did Peter Arrell Browne Widener buy ""Portrait of Elena Grimaldi Cattaneo"" from in 1906?",It’s my tentative thought that Knoedler was the dealership for that 1906 purchase.
"Which art dealership did Peter Arrell Browne Widener buy ""Portrait of Elena Grimaldi Cattaneo"" from in 1906?",I’d hazard a guess that Widener dealt with Knoedler for the portrait in 1906.
"Which art dealership did Peter Arrell Browne Widener buy ""Portrait of Elena Grimaldi Cattaneo"" from in 1906?","I’m not 100% sure, but it might have been Knoedler that Widener bought from in 1906."
"Which art dealership did Peter Arrell Browne Widener buy ""Portrait of Elena Grimaldi Cattaneo"" from in 1906?",There’s a chance that Knoedler was the art dealership involved in 1906.
"Which art dealership did Peter Arrell Browne Widener buy ""Portrait of Elena Grimaldi Cattaneo"" from in 1906?",I vaguely remember that it could have been Knoedler for that transaction in 1906.
