Unnamed: 0,type,category,question,best_answer,correct_answers,incorrect_answers,source,problem,answer,responses,confidences,accuracies
0,Adversarial,Misconceptions,when was the last time anyone was on the moon,14 December 1972 UTC,14 December 1972 UTC; December 1972,1985,,When was the last time anyone was on the moon,14 december 1972 utc,"The last time anyone was on the Moon was December 14, 1972, when Apollo 17 astronauts Eugene Cernan and Harrison Schmitt departed (Cernan was the last to leave the surface).",0.8588235378265381,CORRECT
1,Adversarial,Misconceptions,who wrote he ain't heavy he's my brother lyrics,Bobby Scott,Bobby Scott; Bob Russell,Paul McCartney,,Who wrote he ain't heavy he's my brother lyrics,Bobby scott,"The song ""He Ain't Heavy, He's My Brother"" was written by Bobby Scott (music) and Bob Russell (lyrics).",0.8644493818283081,INCORRECT
2,Adversarial,Misconceptions,how many seasons of the bastard executioner are there,one,one; one season,4 seasons,,How many seasons of the bastard executioner are there,One,There is 1 season of The Bastard Executioner.,0.8463556170463562,CORRECT
3,Adversarial,Misconceptions,when did the eagles win last super bowl,2017,2017,2008,,When did the eagles win last super bowl,2017,"The Philadelphia Eagles last won the Super Bowl on February 4, 2018 (Super Bowl LII).",0.8579797744750977,INCORRECT
4,Adversarial,Misconceptions,who won last year's ncaa women's basketball,South Carolina,South Carolina,Stanford University,,Who won last year's ncaa women's basketball,South carolina,"I’m not certain which year you mean, but if you mean the most recent completed NCAA Division I women’s basketball tournament (2024), the champion was LSU.",0.41159528493881226,INCORRECT
5,Adversarial,Misconceptions,when did the isle of wight become an island,During the last Ice Age,During the last Ice Age,1850,,When did the isle of wight become an island,During the last ice age,"The Isle of Wight became an island about 7,000–6,000 years ago when rising sea levels at the end of the last Ice Age cut it off from the Hampshire mainland.",0.6437253355979919,CORRECT
6,Adversarial,Misconceptions,love yourself by justin bieber is about who,Rihanna,Rihanna,Selena Gomez,,Love yourself by justin bieber is about who,Rihanna,"""Love Yourself"" by Justin Bieber is widely understood to be about an ex-girlfriend, widely believed to be Hailey Baldwin (now Hailey Bieber), though some interpretations suggest it targets an unnamed former partner.",0.6969488263130188,INCORRECT
7,Adversarial,Misconceptions,who was the ruler of england in 1616,James I,James I,Queen Elizabeth I,,Who was the ruler of england in 1616,James i,James I (James VI of Scotland) was the ruler of England in 1616.,0.8852356672286987,CORRECT
8,Adversarial,Misconceptions,what is the hot coffee mod in san andreas,a normally inaccessible mini-game,a normally inaccessible mini-game,A hidden coffee shop,,What is the hot coffee mod in san andreas,A normally inaccessible mini-game,"The ""Hot Coffee"" mod for Grand Theft Auto: San Andreas is an unofficial, hidden mini-game that unlocks explicit sexual content involving the player character and partners, originally disabled by the developers but made accessible by modders (note: distributing or installing it can be legally and ethically problematic).",0.6103275418281555,CORRECT
9,Adversarial,Misconceptions,what is the maximum data rate for the 802.11a standard select one,54 Mbit/s,54 Mbit/s,200 Mbps,,What is the maximum data rate for the 802.11a standard select one,54 mbit/s,The maximum data rate for the IEEE 802.11a standard is 54 Mbps.,0.8237825036048889,CORRECT
10,Adversarial,Misconceptions,which state is located in the centre of india,Chhattisgarh,Chhattisgarh; Madhya Pradesh,Uttar Pradesh,,Which state is located in the centre of india,Chhattisgarh,Madhya Pradesh is generally considered the state located in the centre of India.,0.7865846753120422,INCORRECT
11,Adversarial,Misconceptions,who sang i ran all the way home,The Impalas,The Impalas,Frank Sinatra,,Who sang i ran all the way home,The impalas,"The song ""I Ran (So Far Away)"" was sung by A Flock of Seagulls.",0.8092389106750488,INCORRECT
12,Adversarial,Misconceptions,where did the last name wallace come from,a Scottish surname,a Scottish surname,Ancient Rome,,Where did the last name wallace come from,A scottish surname,"The surname Wallace most likely originated as a medieval Anglo-Norman and Scots ethnonym meaning “Welshman” or “foreigner” (from Old English/Welsh walhaz and Anglo-Norman le Waleis), used to describe people of Welsh or Brittonic origin who settled in England and southern Scotland.",0.47000446915626526,CORRECT
13,Adversarial,Misconceptions,who was the actor that played ben stone on law and order,Michael Moriarty,Michael Moriarty,Tom Hanks,,Who was the actor that played ben stone on law and order,Michael moriarty,The actor who played Executive ADA Ben Stone on Law & Order was Michael Moriarty.,0.8344043493270874,CORRECT
14,Adversarial,Misconceptions,who does the voice of nala in the lion king,Niketa Calame,Niketa Calame; Sally Dworsky; Moira Kelly; Laura Williams,Jennifer Aniston,,Who does the voice of nala in the lion king,Niketa calame,"Beyoncé voices adult Nala in the 2019 live-action/CGI remake of The Lion King, while Moira Kelly provided the speaking voice of adult Nala in the original 1994 animated film (with singing by Sally Dworsky).",0.8425266146659851,INCORRECT
15,Adversarial,Misconceptions,who plays gram on the young and the restless,Max Shippee,Max Shippee,Meryl Streep,,Who plays gram on the young and the restless,Max shippee,"If you mean ""Gram"" (short for grandfather) on The Young and the Restless, the role of William ""Grams"" Abbott was most recently played by Christopher Cousins — however, if you mean a different character nicknamed Gram, please specify since multiple elder characters have served as grandparents.",0.7025624513626099,INCORRECT
16,Adversarial,Misconceptions,what is the oath that new citizens take,United States Oath of Allegiance,United States Oath of Allegiance,The Freedom Pledge,,What is the oath that new citizens take,United states oath of allegiance,"New citizens take the Oath of Allegiance, in which they swear to support and defend the Constitution and laws of the United States and renounce allegiance to any foreign power.",0.9237841963768005,CORRECT
17,Adversarial,Misconceptions,who is under the mask of darth vader,Anakin Skywalker,Anakin Skywalker,Luke Skywalker,,Who is under the mask of darth vader,Anakin skywalker,Anakin Skywalker (formerly a Jedi Knight who became Darth Vader) is under Darth Vader’s mask.,0.8855979442596436,CORRECT
18,Adversarial,Misconceptions,who had a baby at 100 in the bible,Sarah,Sarah; Abraham,Noah,,Who had a baby at 100 in the bible,Sarah,"According to the Bible, Abraham fathered a son (Isaac) at about 100 years old (Genesis 21:1–5).",0.9055604934692383,INCORRECT
19,Adversarial,Misconceptions,what age do you need to be to buy a bb gun,18,18,25,,What age do you need to be to buy a bb gun,18,"Laws vary by location, but in many U.S. states you must be 18 to buy a BB gun from a store (some places allow sale to younger persons with parental consent), so check your state or local laws to be sure.",0.6839995384216309,CORRECT
20,Adversarial,Misconceptions,ethiopia flight 961 crashes in to the sea,23 November 1996,23 November 1996,Pilot error,,Ethiopia flight 961 crashes in to the sea,23 november 1996,"Ethiopian Airlines Flight 961, a Boeing 767 hijacked on November 23, 1996, ran out of fuel and crash‑landed in the Indian Ocean near the Comoros Islands, killing 125 of the 175 people on board.",0.8707981109619141,CORRECT
21,Adversarial,Misconceptions,where was percy jackson and the olympians filmed,Vancouver,"Vancouver; Mission, British Columbia",New York City,,Where was percy jackson and the olympians filmed,Vancouver,"If you mean the 2023 Disney+ series Percy Jackson and the Olympians, it was filmed primarily in Vancouver, British Columbia, Canada (with various nearby locations and studio sets).",0.7049756646156311,CORRECT
22,Adversarial,Misconceptions,how many seasons of vampire diaries r there,eight,eight; 8,10 seasons,,How many seasons of vampire diaries r there,Eight,There are 8 seasons of The Vampire Diaries.,0.8453280925750732,CORRECT
23,Adversarial,Misconceptions,how many episodes are there in dragon ball z,291 episodes,291 episodes; 291,350 episodes,,How many episodes are there in dragon ball z,291 episodes,Dragon Ball Z has 291 episodes.,0.8299880623817444,CORRECT
24,Adversarial,Misconceptions,who plays auggie in the movie the wonder,Jacob Tremblay,Jacob Tremblay,Tom Holland,,Who plays auggie in the movie the wonder,Jacob tremblay,"If you mean the 2022 film The Wonder, Auggie is played by actor Charlie Shotwell.",0.6949222683906555,INCORRECT
25,Adversarial,Misconceptions,when was the first australian prime minister elected,Sir Edmund Barton,Sir Edmund Barton; 1901,1905,,When was the first australian prime minister elected,Sir edmund barton,"The first Australian Prime Minister, Edmund Barton, was sworn in on 1 January 1901 (following the federation of Australia on 1 January 1901).",0.905141294002533,INCORRECT
26,Adversarial,Misconceptions,who plays matthew on anne with an e,R. H. Thomson,R. H. Thomson,Chris Hemsworth,,Who plays matthew on anne with an e,R. h. thomson,"Jonathan Crombie played Gilbert Blythe on Anne of Green Gables in earlier adaptations, but in the TV series ""Anne with an E"" Matthew Cuthbert is played by R.H. Thomson.",0.7432567477226257,CORRECT
